link,link-href,article
"No clash even as Modi, Akhilesh cross paths in poll-bound Kashi","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/no-clash-even-as-modi-akhilesh-cross-paths-in-poll-bound-kashi/articleshow/57472897.cms","VARANASI: For once, Varanasi locked itself from all corners for a major carnival, on Saturday.
  

  

  Banarasis looked on as the biggest leaders of political parties crossed each others' path on the banks of Ganga, covering the busy cobbled-up bylanes, between landmarks Banaras Hindu University in Lanka and the Dashashwamedh Ghat.
  

  

  If it was saffron umbrellas and gamchhas, 3-D lifesize posters of Prime minister Modi put up by the BJP, it was a cycle atop vans with cutouts of UP chief minister Akhilesh Yadav morphed into a gladiator and of Congress vice president Rahul Gandhi.
  

  

  Till 9 am, when steamers and boats were ferrying buoyant Brahmins and boatmen from Nishad community waving lotus and saffron flags, it was clear BJP had run its script with as much elan as it did in 2014 Lok Sabha elections. And all this was long before Modi arrived at noon.
  

  

  'Har har Modi, ghar ghar Modi,' chanted BJP's army as the ensconced themselves in tiny shops, perched on terraces of old homes, electricity poles or parapets of business centres, in a throwback to Modi's debut elections.
  

  

  Though BJP has changed its election discourse with comments on Hindu-Muslim divide including kabrastan and shamshan ghat and discriminatory electric supply on festivals, all eyes there were on Modi's roadshow as it passed through a prominent Muslim ghetto Madanpura, known for its Bunkars (weavers) who stitch Banarsi sarees for years.
  

  

  ""Bahut zyada utsaah nahi tha. Jab Modi ji 2014 mein lade thhe, aur nomination kiya tha. Hum ne bhi unko vote daala tha (There wasn't as much as fervour as when Modi filed nomination in 2014),"" said weaver Kabir, refusing to take the call on who will win the polls.
  

  

  By the time Modi took an about turn outside the Kalbhairo temple, SP's men had stormed the streets. On many occasions, SP's men, sporting 'Akhilesh ki Army' shirts had a direct face-off with BJP's supporters.
  

  

  Despite anti-incumbency, their posse of supporters looked jubilant. They went along distributing sweets, shirts and SP's red caps.
  Zeven MenS White Cricket Velcro Shoes ZFFW131M3ACShopcluesWatch the American TV sitcom, Two and a Half Men, onlineAmazon Prime VideoRecommended By Colombia

  

  The SP's meticulously written stock songs 'Main hoon Akhilesh' and 'Apni cycle apna haath, Akhilesh Rahul ka saath' filled the evening air even as Modi was to return for a town hall meeting.
  

  

  ""Yeh jeet sirf Akhilesh bhaiya aur bhabhi je liye (This will be the victory of Akhilesh and Dimple),"" said Vishnu, as he screamed ""bhabhi"" when Dimple reached Gadoliya Chowk at 7:30 pm
  

  

  Unlike her counterparts, BSP supremo evidently chose to give the city a miss and instead held her rally on the outskirts of a rural constituency Rohaniya.
  

  

  Several of her rally's participants flippantly pointed at a policeman and said the BSP would soon bring back the old practice of removing 'Yadav' from nameplates and office timings would begin in morning."
"Maa Ganga will punish Modi, says Mayawati","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/maa-ganga-will-punish-modi-says-mayawati/articleshow/57472032.cms","VARANASI: BSP chief Mayawati on Saturday trained her guns on BJP and SPCongress, saying ""gimmicks"" like roadshows and Union ministers camping in Varanasi would not help her rivals in the polls.
  

  

  Attacking PM Modi, she said at a rally in Varanasi that he wants to clean the whole country but his own parliamentary constituency is loaded with garbage and filth. ""BJP has not taken steps to clean Maa Ganga and she will punish Modi and his party in the assembly elections,"" she said.
  

  Top CommentMayawati''s utterances about caste and religion card of BJP sounds like ""DEVIL QUOTING SCRIPTURE"".  Jai Hind.  B.K.Sharma, Kanpur.Bal Krishna Sharma

  Referring to the roadshows of Modi and Akhilesh-Rahul, Mayawati said, ""I have been told that the crowd in both the roadshows was nothing in comparison to the crowd here.
  

  

  The nervousness of BJP can be gauged from the fact that it had brought people from other divisions and places like Bihar and MP to increase the strength of the crowd. In Modi's roadshow maximum people belonged to places where polls are over. But outsiders don't help you win."""
"BSP candidate from Ayodhya booked for rape","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/bsp-candidate-from-ayodhya-booked-for-rape/articleshow/57472963.cms","FAIZABAD: BSP candidate from Ayodhya Bazmi Siddiqui and seven of his close associates have been booked for gang rape.
  

  

  The rape survivor has alleged that Siddiqui and his aides forcefully entered her house in Purani Sabzi Mandi under Faizabad City Kotwali and thrashed her and her family members before they raped the woman.
  

  

  Faizabad SSP Anant Dev said five of the accused have been arrested and police teams are conducting raids for the arrest of Siddiqui and one of his aides. The woman has also alleged that Siddiqui raped her three months ago but police did not act. Several criminal cases are registered against him in Faizabad and Lucknow, said police.
  

  

  Siddiqui said the allegations against him were false. ""There is a BSP wave in the elections and I am winning hence opposition parties are conspiring against me,"" he said."
"Will rail projects help BJP fly in Eastern UP?","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/will-rail-projects-help-bjp-fly-in-eastern-up/articleshow/57460567.cms","VARANASI: The last two phases of the election are likely to test the public appeal of major development works undertaken by the Centre in railways in areas such as Ghazipur, Ballia, Azamgarh and Mau, which have remained largely ignored for new projects since Independence.
  

  

  Prime Minister Narendra Modi's decision to select Ghazipur MP Manoj Sinha as Union minister of state for railways has much to do with the special focus for the allotment of new development projects for eastern Uttar Pradesh.
  

  

  The new projects undertaken by railways are expected to connect the BJP with the farmers and poor people in this region.
  

  

  Apart from expansion and beautification works for Manduadih railway station to ease pressure on Varanasi Cantt railway station and introduction of escalator facilities at Manduadih and Ghazipur railway stations, the Centre has sanctioned major projects such as doubling of Mau-Ghazipur-Tarighat new railway line (at a cost of Rs 845 crore), doubling of Varanasi-Madhosingh-Allahabad city railway line (Rs 702 crore), electrification work of Ghazipur-Aurihar-Manduadih-Allahabad (Rs 100 crore), construction of rail overbridge at Manduadih crossing in Varanasi (Rs 42 crore) and electrification of Chapra-Ballia double line (about Rs 200 crore). Work on all these projects is in progress.
  

  

  Ghazipur, Ballia and Mau are among the most backward regions of the state from where people used to migrate to big cities such as Kolkata, Mumbai and Delhi by train in search of employment.
  

  

  Railways minister Sinha has introduced a number of trains originating from Ghazipur. For example, Suheldev Express runs between Ghazipur and Anand Vihar terminal in Delhi three days a week.
  

  

  The decision to name the train Suheldev Express clearly indicates BJP's plan to play the ""development with caste, card in this region on the pattern of Bihar, where Chief Minister Nitish Kumar has successfully cultivated the most backward castes as his party's vote bank. Suheldev is projected by Rajbhars as a king and is thus, their icon.
  

  

  Another new train, Shabdabhedi Express, which Sinha has introduced, runs between Ghazipur and Kolkata. Earlier, there was a lack of fast trains connecting Kolkata with Ghazipur and Ballia.
  

  

  Most of the residents of Ballia district had to catching a train from Buxar or Varanasi in the past.
  

  Earton WomenGirl Tan Sports Running ShoesShopcluesWhy term insurance is important for you?MAX LIFE INSURANCERecommended By Colombia

  ""The situation is such that even people from Varanasi who fail to greserved berths in the trains originating or crossing from Varanasi, now prefer to go to Ghazipur to catch Suheldev Express, which passes through Sultanpur-Lucknow-Moradabad railway route,, said Kamlesh Singh, a passenger at Ghazipur railway station.
  

  

  Besides these projects, railways ministry has selected a place near Ghazipur Ghat railway station to construct a cargo centre for perishables.
  

  

  This centre is meant to help the farmers who grow vegetables and fruits in this region. The project is all set to start functioning very soon.
  

  

  Almost all the railway stations which fall in Ghazipur, Ballia and Varanasi have got a new look, with railways ensuring augmentation and upgradation of passenger amenities. These stations include Jakhania, Sadat, Dullahpur, Saidpur Bhitri and Aurihar.
  

  

  In the last two years, the projects which have been completed by railways in PM Narendra Modi's Varanasi Lok Sabha seat include mechanised laundry for cancer hospital, provision of additional entry with cabway and upper class transit lounge, and provision of 120 low-cost shelters for passengers at various stations in Varanasi division."
"SP workers gherao Varanasi's Town Hall ahead of PM's rally, Congress moves EC","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/sp-workers-gherao-varanasis-town-hall-ahead-of-pms-rally-congress-moves-ec/articleshow/57473904.cms","VARANASI: Tension erupted in the city on Saturday when hundreds of Samajwadi Party workers claimed the Prime Minister Narendra Modi's roadshow here earlier in the day was taken out without due permission and gheraoed the Town Hall ahead of his rally scheduled inside.
  

  

  The Congress has lodged a complaint with the Election Commission over the ""unauthorised"" roadshow of Modi and urged the SP, its alliance partner for Uttar Pradesh assembly polls, to do likewise.
  

  

  Trouble began around 6.30pm, minutes after a joint roadshow of Congress vice president Rahul Gandhi and Uttar Pradesh chief minister Akhilesh Yadav and his wife and SP MP Dimple Yadav crossed the Maidagin locality, a stone's throw from the Town Hall.
  

  

  A section of SP workers, who had come out on the streets in large numbers and were walking beside the leaders' vehicle, dispersed and headed towards the Town Hall, surrounded the premises and started raising slogans, sending police and administrative officials in a tizzy.
  

  

  Some of the officials rushed to pacify the agitated SP workers, while others got busy preventing the BJP activists, who had begun to gather to attend the PM's rally, from picking up a quarrel with the other side.
  

  

  The workers of the BJP and the SP had clashed barely two hours ago, while the roadshow of Rahul, Akhilesh and Dimple was crossing the Chukaghat locality.
  

  

  The SP workers raised slogans alleging that Modi was scheduled to simply visit and pay obeisance at two temples but he ended up taking out a roadshow, travelling in an open vehicle, in a virtual show of strength in his parliamentary constituency though no permission had been sought for the same from the administration.
  Limited Edition Golden Leather S View Flip Cover for SamsungShopcluesMaximize your salary and its tax benefits.TomorrowMakersRecommended By Colombia

  

  The SP workers relented after being requested by the officials that they do not obstruct the Prime Minister's rally and lodge a formal complaint, if they had any grievances.
  

  

  Meanwhile, a written complaint was lodged by the district unit of the Congress with regard to Modi's roadshow.
  Top CommentWe Indians want Aazadi from the following -
*1. Monster-minded muszzie men who marry our under-aged or MINOR Muslim girls and ruin their life.
**2. Evil-minded muzzie men who compel our musli... Read MoreWe Indians want Aazadi from the following -
*1. Monster-minded muszzie men who marry our under-aged or MINOR Muslim girls and ruin their life.
**2. Evil-minded muzzie men who compel our muslim sisters to wear BURQA compulsorily.
***3. Musth-minded muzzie men who treat our muslim sisters as SEX-SLAVES
****4. Cheat-mimded  muzzie men who practice POLYGAMY and make life miserable of our muslim sisters.
*****5. Beast-minded muzzie men who do all kinds of domestic violences and ATROCITIES against our muslim sisters.
******6.Inhumanity minded muzzie men who have made a mindset that our muslim sisters are only a BABY PRODUCING MACHINES.
*******7. Hatred minded muslim Preachers who pollute our muslim brothers mind and create enemity against Hindus.
********8. Arrogant minded muzzie men who give TRIPLE TALAQ to our helpless muslim sisters through Facebook,Twitter, SMS, Postal, Whatsup etc.,
*********9.Dirty minded Mullas who brainwash for wrong practices to muzzie mens such as "" 4 WIVES and 40 KIDS"" and and hypnotise "" FCUKING 72 VIRGINS IN PARADISE AFTER DEATH""
**********10. Violence minded muzzie leaders who support terrorists and give justification for terrorism acts.rahulfakegandhi fake gandhi

  

  ""District Congress president Praja Nath Sharma has submitted a written complaint before the EC underscoring that the PM's roadshow had been taken out without obtaining due permission,"" UPCC spokesman Kishore Varshney told PTI over phone.
  

  

  ""Sharma has also urged the SP to lodge a similar complaint before the poll panel. We hope our alliance partner will heed the suggestion,"" he added."
"A tale of two roadshows: PM Modi, Rahul Gandhi and Akhilesh Yadav descend upon Varanasi","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/a-tale-of-two-roadshows-pm-modi-rahul-gandhi-and-akhilesh-yadav-descend-upon-varanasi/articleshow/57466530.cms","The
  streets of Varanasi+
  transformed into a sea of red as Uttar Pradesh chief minister Akhilesh Yadav and Congress vice-president Rahul Gandhi descended upon the holy city to hold a grand roadshow ahead of the seventh and final phase of polling to the state assembly.
  

  

  
  

  

  Hundreds of supporters wearing the SP's red 'topi' and waving flags and banners bearing the Congress party's 'hand' and SP's 'cycle' symbols lined the narrow streets, cheering Rahul and Akhilesh's cavalcade.
  

  

  
  

  

  The SP-Congress alliance's show of strength took off from Kutchery Chauraha. It is expected to pass through Nadesar, Chaukaghat, Doshipura, Gol Ganj, Peeli Kothi, Maidagin, Chauk and Gudaulia.
  

  

  
  

  

  Samajwadi Party leader Dimple Yadav also joined the roadshow and waved to the crowds alongside her husband Akhilesh Yadav, drawing a huge round of applause.
  

  

  
  

  

  Meanwhile, Prime Minister Narendra Modi was addressing a BJP rally in Jaunpur.
  

  

  Earlier in the day, PM Modi had also embarked on a hours-long roadshow through his Lok Sabha constituency of 'Kashi'.
  

  

  
  

  

  Starting from the Banaras Hindu University (BHU), PM Modi led the roadshow through the holy city's winding roads, as
  people turned out in large numbers to witness the spectacle+
  .
  

  

  
  

  

  

  'Subah Banaras, sham Banaras; Modi tere naam Banaras' and 'Har har Modi, ghar ghar Modi' slogans were raised by the supporters as the Prime Minister waved at them.
  United Bag Travelon Spacious Small Travel Bag  - Large GreenShopclues5 smart reasons to refinance your home loan.TomorrowMakersRecommended By Colombia

  

  
  

  

  Modi later offered prayers at the Kashi Vishwanath and Kaal Bhairav temples.
  

  

  On Saturday, the sixth phase of polling in 49 constituencies, including Gorakhpur and Azamgarh was underway in parts of Uttar Pradesh. An average voter turnout of over 57 per cent was registered.
  

  

  (Image courtesy: PTI, Twitter/SamajwadiParty)"
"PM Modi's ‘Jandarshan’ reminds people of his 2014 Lok Sabha poll campaign","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/pm-modis-jandarshan-reminds-people-of-his-2014-lok-sabha-poll-campaign/articleshow/57472017.cms","VARANASI: Just as he did when he came to file his nomination for the Lok Sabha elections in 2014, PM Narendra Modi began his Varanasi roadshow on Saturday morning from the gates of Banaras Hindu University after garlanding the statue of Pandit Madan Mohan Malaviya.
  

  

  Greeted by BJP supporters wearing saffron caps and bandanas, his cavalcade began as the PM, accompanied by senior BJP members and ministers, was led by BJP functionaries on motorcycles.
  

  

  Standing through the skylight of his car, Modi covered the distance of around 4.5km from BHU Crossing to Kashi Vishwanath Temple.
  

  Earton WomenGirl Tan Sports Running ShoesShopcluesBest performing mutual funds to invest inFundsIndiaRecommended By Colombia

  The crowd of supporters grew bigger as the roadshow moved from Lanka, Assi Road to Assi Sangam, Sahadarveer Pul, Madanpura, before reaching Godaulia Crossing near the Lord Shiva temple, passing through narrow lanes.
  

  

  As the roadshow moved through Madanpura, a predominantly Muslim-dominated area, many citizens in skullcaps were seen taking pictures on their mobiles or showering flower petals on the PM.
  

  Top Comment*VOTE BJP.MODI GRAND DEVELOPMENT, Make In India..vs..Kick OUT SP-R#P1STS Prajapati G00N on the RUN, CONs, BSP Failed 70 Yrs, NOO Development T01LETS, in UP Millions of people forced to T01LET Defacat... Read More*VOTE BJP.MODI GRAND DEVELOPMENT, Make In India..vs..Kick OUT SP-R#P1STS Prajapati G00N on the RUN, CONs, BSP Failed 70 Yrs, NOO Development T01LETS, in UP Millions of people forced to T01LET Defacating on Train-Tracks **BJP.MODI Ruled States More Developed, All SP-UP, Bihar, WB-TMC, CPM, CONs State Workers go to BJP States Gujrat, Maharashtra, Rajasthan for jobs....10 & 70 Yrs BSP, SP FAILED UP.. SP-Akheelish LOOTERS, BSP, SCSMGRESS PARTNERS HAVE NOOO CREDIBLE LEADERSHIP, ALL ARE BUNCH OF LOOOSERS, BRAIN DEAD, DUMBEST FOOLS... MENTALLY BROKE BANKRUPT.. 70 Yrs lifetime power, Failed SP, BSP, CONs SURVIVED BY CR1MES, STEALING, LOOOTING, PLAYING CR1MINAL MASTERMINDS EV1L CR1M1NAL PL0TT1NG, MISINFORMATION. ... MODI.BJP IS BRINGING HONESTY, HARDEST WORK, LONGTERM VISION FOR DEVELOPMENT PLANS, GIGANTIC MONUMENTAL TASKS PROGRESSIVE POLICIES... SUDDENLY, BSP, SP, CON & PARTNERS BANKRUPT MINDS ARE CAUGHT WITH PANTS D0WN . . . . FAILED SP, BSP SCAMGRESS LOOTERS ALLIANCE MINDSET IS LIKE CON-ARTIST, FRAUDSTERS, TRICKING POOOR, UNEDUCATED.... Failed SP, BSP CONs NOO REAL DEVELOPMENT ISSUES, NO PROGRESSIVE ARGUMENTS, NOOO LEADER, NOOO POLICIES, NOTHING TO TALK ABOUT... SP, BSP, SCAM HAS NOOO CREDIBLE LEADERSHIP, ALL ARE BUNCH OF LOOOSERS, BRAIN DEAD, DUMBEST FOOLS... MENTALLY BROKE BANKRUPT... BJP.MODI are NATION BUILDERS, 70 yrs SCAMGRESS MEDIA ANTI-NATIONALS MISINFORMED BRAINWASHED MINORITIES INDIANS TO BE AFRAID OF PATRIOTIC NATION BUILDERS. .. IT'S A TRAGEDY, MINORITIES HAS BEEN MISINFORMED BY SCAMGRESS MEDIA FOR 70 YRS.


  The roadshow finally reached Kashi Vishwanath at 1.15pm and the PM went inside to offer prayers before moving on to do the same at Kal Bhairav temple in City Kotwali area, in his first visit since he became PM in 2014.
  

  

  Modi's roadshow angered Congress, which urged the EC to book him and other BJP members for alleged violation of the model code for allegedly holding the procession without prior permission. In response, UP BJP chief Keshav Prasad Maurya said the event was not a roadshow but a 'jandarshan'. Maurya said Modi was in the city to offer prayers at Kashi Vishwanath and it was the love of people which resulted in him receiving a grand welcome."
"At 57%, voting higher than previous poll, less than in phase V","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/at-57-voting-higher-than-previous-poll-less-than-in-phase-v/articleshow/57473706.cms","LUCKNOW: The sixth phase of polling in Uttar Pradesh in seven districts covering 49 assembly seats passed off peacefully with 57.03% of the electorate exercising franchise on Saturday. There was an increase of almost 2% compared to the last assembly elections when 55.04% votes were polled but it was still less than polling in the fifth phase in which 57.5% voting was recorded.
  

  

  The voting percentage was also higher as compared to 2014 Lok Sabha elections when the said assembly segments registered 54.72% voting. Chief electoral officer, K Ventakesh said rise of 2% was considerable in this region where voting percentage has not been high in the past.
  

  

  Maharajganj recorded the highest voting percentage of 60.80% but it was marginally less than in 2012 and in 2014 when 60.82% voting was recorded. Election commission said some voters were still in queue at 5pm when polling came to an end and polling could go a notch higher.
  

  

  The highest jump of 4.14% was recorded in Gorakhpur—known as stronghold of BJP firebrand MP Yogi Aditya Nath—where voting percentage this time shot from 52.75 in 2012 to 56.89% . In 2014 Lok Sabha polls, the district registered 52.47% voting. The same holds true for Deoria where voting percentage went up from 51.88% in 2012 to 54.89% this year, registering a rise of over 3%.
  

  

  Mau, from where gangster-turned-politician Mukhtar Ansari and his son Abbas are contesting on a BSP ticket, there was a rise of 2.65% in voting. The east UP district, which recorded 56.10% in 2012 witnessed voting percentage going up to 58.75% this time and is likely to increase further, ECI said.
  Watch blockbuster film Bahubali online on Amazon Prime VideoAmazon Prime VideoEarton WomenGirl Tan Sports Running ShoesShopcluesRecommended By Colombia

  

  Ballia too recorded 55.57% voting, which was higher by 2.67% compared to 2012 assembly elections when 52.90% voting was registered. In one of the booth in Barria village of Ballia, voters boycotted polling to prostest against no development work done in their area. In Azamgarh, parliamentary constituency of SP patriarch Mulayam Singh Yadav, voting percentage went up from 54.10% in 2012 to 56.38%, a rise of 2.28%.
  

  

  In 2014, the said assembly segments in Azamgarh had recorded 55.27% voting. Kushinagar too saw a rise in voting percentage—from 56.74% in 2012 to 58.08% this year, a rise of over 2014 Lok Sabha elections when the said assembly segments in Kushinagar recorded 55.78%.
  

  

  In Ballia, son of former state minister and BSP candidate from Phephna constituency , Ambika Chaudhary, was arrested on charges of attacking the residence of SP candidate Sangram Singh on Saturday.
  

  

  The sixth phase comprised a total electorate of 1.72 crore of which 94.7 lakh were male and 78.06 lakh were female voters. As many as 635 candidates were in the fray in this penultimate phase of UP assembly elections."
"BJP MP Sakshi Maharaj gets life threat, Unnao police registers FIR","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/bjp-mp-sakshi-maharaj-gets-life-threat-unnao-police-registers-fir/articleshow/57459919.cms","KANPUR: Known for making controversial remarks, BJP MP from Unnao, Sakshi Maharaj, on late Thursday evening received life threat calls from a phone number from abroad. The phone call was received by Sakshi's PRO Ashok Katiyar following which he lodged a complaint with the Kotwali police in Unnao on Friday. The caller, according to Katiyar, also hurled abuses and used derogratory language against several other BJP leaders, threatening them for their life. The Kotwali police have lodged an FIR against the unidentified caller and have started the investigation.
  

  

  Talking to TOI, Sakshi Maharaj's PRO, Ashok Katiyar said that three calls were made by the anonymous caller on cell number 941256999 at 9:11 pm, 9:15 pm and 9:20 pm on Thursday. Katiyar said that the caller threatened of dire consequences. ""The caller threatened that Sakshi Maharaj should stop eulogising Hinduism otherwise he will lose his life. He was using offensive language against our leaders. Therefore, I have lodged an FIR against the anonymous caller and urged police to take the necessary action"", said Katiyar further.
  Latest CommentWe Indians want Aazadi from the following -
*1. Monster-minded muszzie men who marry our under-aged or MINOR Muslim girls and ruin their life.
**2. Evil-minded muzzie men who compel our musli... Read MoreWe Indians want Aazadi from the following -
*1. Monster-minded muszzie men who marry our under-aged or MINOR Muslim girls and ruin their life.
**2. Evil-minded muzzie men who compel our muslim sisters to wear BURQA compulsorily.
***3. Musth-minded muzzie men who treat our muslim sisters as SEX-SLAVES
****4. Cheat-mimded  muzzie men who practice POLYGAMY and make life miserable of our muslim sisters.
*****5. Beast-minded muzzie men who do all kinds of domestic violences and ATROCITIES against our muslim sisters.
******6.Inhumanity minded muzzie men who have made a mindset that our muslim sisters are only a BABY PRODUCING MACHINES.
*******7. Hatred minded muslim Preachers who pollute our muslim brothers mind and create enemity against Hindus.
********8. Arrogant minded muzzie men who give TRIPLE TALAQ to our helpless muslim sisters through Facebook,Twitter, SMS, Postal, Whatsup etc.,
*********9.Dirty minded Mullas who brainwash for wrong practices to muzzie mens such as "" 4 WIVES and 40 KIDS"" and and hypnotise "" FCUKING 72 VIRGINS IN PARADISE AFTER DEATH""
**********10. Violence minded muzzie leaders who support terrorists and give justification for terrorism acts.rahulfakegandhi fake gandhi

  

  Sakshi's PRO further informed that the caller made a mention that Unnao MP would be blown off after declaration of results of UP state assembly elections. He said that the call was made from +240 940693 number which probably belongs to some other nation. Sensing the gravity of the situation the police did not delay in lodging an FIR.
  

  

  Inspector Kotwali while talking to TOI confirmed that the FIR has been lodged. He said that the investigation has started. The police is also trying to make out whether the phone call made was an internet call. This is not for the first time that Sakshi Maharaj has received a threat call. Katiyar said that some six-seven months ago also an anonymous caller that given a threat call to Maharaj Ji. While the FIR has been lodged in Unnao, Sakshi Maharaj according to Katiyar is in Etah these days taking part in some religious event. The police on the other hand has upped the security at the BJP MP's house in Unnao."
"In Mau, Ansari vs Ansari makes plot interesting","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/in-mau-ansari-vs-ansari-makes-plot-interesting/articleshow/57473949.cms","MAU: It is said that a man is known by enemies he keep. Altaf Ansari's enemy, a man struggling to represent Mau Sadar assembly, is scary. On Saturday, it was for the second consecutive time Altaf Ansari was in fray for Mau as Samajwadi Party candidate, against Mukhtar Ansari, the dreaded don of UP.
  Burn Belly Fat In 7 Days (100% Results)SlimNowRoam abroad freely with unlimited incomingAirtelRecommended By Colombia

  

  Around 8am, Chotteylal Khushwaha, who owns a commercial establishment at Bhithi Chowk was out to cast his vote and said ""Absence of a BJP candidate has taken fun out of the poll battle and it will be a one-sided fight, though Altaf has a lot to improve on his past performance."" Lodged in judicial custody at Lucknow prison, Mukhtar won the seat four times with our without any party's support and was hopeful of a fifth term on BSP's ticket.
  

  

  As sun moved west, queues at polling stations in congested localities kept getting longer. Since 1980, pollsters in Mau city have been sending only Muslim MLAs to Vidhan Sabha Bhawan in Lucknow to raise their voice. In 1977, Ram Ji had won on a Janta Party ticket after Emergency ended. This time, two Ansaris are out to defeat each other.
  

  

  Owner of multiple handloom units, Altaf Ansari was seen outside a polling booth at Mirzahadipura at 11.30am. He had covered 11 polling stations by then. ""Mukhtar fought for the party founded by his brother, Quami Ekta Dal and secured 70,131 votes in 2012. I came third with 54,069 votes. BSP candidate had secured 64,306 votes. But this time the equation has changed and people are with Akhilesh Yadav. Though BJP had been pitching about clamping Mukhtar Ansari, the party surprisingly did not field a candidate against him,"" said Altaf, claiming he had better odds in the changed scenario.
  

  

  Has fighting it out with Muktar deterred him? ""I have not felt insecure or been threatened. I know the background of my opponent and so do the voters. He was eyeing SP ticket but switched loyalties on being shown the exit door. He is not in a respectable position this time,"" said unperturbed Altaf. A lot of voters said since Altaf is no threat for Mukhtar, he can say whatever he wants. ""The verdict will be out on March 11 and he will see what people decided,"" said Mangru Rajbhar, 30, waiting for his turn at Khwaja Jahanpur school."
"After Arvind Kejriwal and Manohar Parrikar, now Akhilesh Yadav asks voters to accept money","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/after-arvind-kejriwal-and-manohar-parrikar-now-akhilesh-yadav-asks-voters-to-accept-money/articleshow/57466274.cms","BHADOHI: Samajwadi Party president Akhilesh Yadav is the latest addition to the list of leaders who have asked the voters to take money from other political outfits but cast vote for their respective parties.
  

  

  ""I (have) heard that voters are being given money. My advice to you is to keep the money and vote for the bicycle,"" he said at an election meeting in Bhadohi on Saturday.
  

  Zeven MenS White Cricket Velcro Shoes ZFFW131M3ACShopcluesKnow the first step of financial planningMAX LIFE INSURANCERecommended By Colombia

  Bicycle is the election symbol of the Samajwadi Party.
  

  

  Last month, the
  Election Commission had served a notice to Defence Minister Manohar Parrikar+
  over allegations that during an poll speech in Goa, he had said ""...you vote him by taking Rs 2000 from someone. It is okay, somebody will hold a rally, there is no objection, someone roams there with Rs 500. But vote shall be for lotus..."".
  

  

  The EC, which took cognisance of the matter, had asked Parrikar to be more circumspect and careful while making any statement in future when the Model Code of Conduct is in place.
  

  

  The poll panel had also
  directed registration of an FIR against Delhi Chief Minister Arvind Kejriwal+
  for asking voters in Goa to accept money from other parties, but vote for his Aam Aadmi Party."
